ResponseID,Role,CompanySize,Q1_Discover,Q1_Plan,Q1_Design,Q1_Develop,Q1_Measure,Q2_UseAI_Discover,Q2_UseAI_Plan,Q2_UseAI_Design,Q2_UseAI_Develop,Q2_UseAI_Measure,Q3_PrimaryResearch,Q3_DeskResearch,Q3_BehavioralData,Q3_Brainstorming,Q3_ConceptDev,Q3_InternalReviews,Q4_Satisfaction_PrimaryResearch,Q4_Satisfaction_DeskResearch,Q4_Satisfaction_BehavioralData,Q4_Satisfaction_Brainstorming,Q5_DiscoverImprovement,Q18_MCPFamiliarity,Q20_MCP_PrimaryResearch,Q20_MCP_DeskResearch,Q21_MCP_Satisfaction_PrimaryResearch,Q22_MCPDiscoverImprovement
R001,Designer,50-99,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,4,5,0,4,"Better integration with existing research tools",Familiar and have used,Yes,Yes,4,"More customization options for our specific research workflows"
R002,Developer,250-499,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar and planning to use,No,No,0,""
R003,PM,100-249,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5,4,5,5,"Faster processing of large survey datasets",Familiar and have used,Yes,Yes,5,"Better data export capabilities"
R004,Designer,2-49,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,3,0,4,"More AI-generated design variations",Never heard of,No,No,0,""
R005,Developer,500-999,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Heard of but not familiar,No,No,0,""
R006,Designer,1000-1999,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,"Better collaboration features between AI tools",Familiar and have used,Yes,Yes,5,"Improved context awareness for design research"
R007,PM,50-99,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,3,4,5,0,"More accurate sentiment analysis",Familiar and planning to use,Yes,No,0,""
R008,Developer,100-249,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar but never used,No,No,0,""
R009,Designer,250-499,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,"Integration with Figma for automatic insights",Familiar and have used,Yes,Yes,4,"Better documentation and examples"
R010,PM,1000-1999,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,5,5,0,4,"Automated report generation from research findings",Familiar and have used,Yes,Yes,5,"More templates for common research tasks"
R011,Developer,2-49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Heard of but not familiar,No,No,0,""
R012,Designer,500-999,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,4,0,5,"Better brainstorming prompts and frameworks",Familiar and planning to use,No,Yes,0,""
R013,PM,50-99,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,4,5,4,0,"More integration with project management tools",Familiar and have used,Yes,Yes,4,"Better error handling and reliability"
R014,Developer,100-249,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Never heard of,No,No,0,""
R015,Designer,250-499,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,"Nothing - very satisfied with current tools",Familiar and have used,Yes,Yes,5,"More training resources and best practices"
