ResponseID,Role,CompanySize,Q1_Discover,Q1_Plan,Q1_Design,Q1_Develop,Q1_Measure,Q2_UseAI_Discover,Q2_UseAI_Plan,Q2_UseAI_Design,Q2_UseAI_Develop,Q2_UseAI_Measure,Q3_PrimaryResearch,Q3_DeskResearch,Q3_BehavioralData,Q3_Brainstorming,Q3_ConceptDev,Q3_InternalReviews,Q4_Satisfaction_PrimaryResearch,Q4_Satisfaction_DeskResearch,Q4_Satisfaction_BehavioralData,Q4_Satisfaction_Brainstorming,Q5_DiscoverImprovement,Q18_MCPFamiliarity,Q20_MCP_PrimaryResearch,Q20_MCP_DeskResearch,Q21_MCP_Satisfaction_PrimaryResearch,Q22_MCPDiscoverImprovement
R001,Designer,50-99,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,4,5,0,4,Better integration with existing research tools and real-time collaboration features,Familiar and have used,Yes,Yes,4,More customization options for our specific research workflows
R002,Developer,250-499,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Familiar and planning to use,No,No,0,
R003,PM,100-249,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5,4,5,5,Faster processing of large survey datasets and better analytics,Familiar and have used,Yes,Yes,5,Better data export capabilities and visualization options
R004,Designer,2-49,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,3,0,4,More AI-generated design variations and automated user research,Never heard of,No,No,0,
R005,Developer,500-999,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Heard of but not familiar,No,No,0,
R006,Researcher,1000-1999,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,Better collaboration features between AI tools,Familiar and have used,Yes,Yes,5,Improved context awareness for design research
R007,PM,50-99,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,2,4,5,0,More accurate sentiment analysis but current tools are slow,Familiar and planning to use,Yes,No,0,
R008,Developer,100-249,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Familiar but never used,No,No,0,
R009,Designer,250-499,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,5,4,5,Integration with Figma for automatic insights would be game-changing,Familiar and have used,Yes,Yes,4,Better documentation and examples for advanced use cases
R010,Researcher,1000-1999,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,5,5,0,4,Automated report generation from research findings,Familiar and have used,Yes,Yes,5,More templates for common research tasks
R011,Developer,2-49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Heard of but not familiar,No,No,0,
R012,Designer,500-999,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,4,0,5,Better brainstorming prompts and frameworks,Familiar and planning to use,No,Yes,0,
R013,PM,50-99,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,1,5,4,0,Tools need significant improvement in reliability and accuracy,Familiar and have used,Yes,Yes,2,Better error handling and reliability improvements
R014,Engineer,100-249,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Never heard of,No,No,0,
R015,Designer,250-499,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,Nothing - very satisfied with current tools,Familiar and have used,Yes,Yes,5,More training resources and best practices
R016,Researcher,1000-1999,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,5,4,0,0,Better data visualization of research insights,Familiar and have used,Yes,Yes,5,Better performance with large datasets
R017,Developer,2-49,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,0,0,0,0,,Heard of but not familiar,No,No,0,
R018,Designer,500-999,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,0,2,0,4,More customization for design-specific research needs,Familiar and planning to use,No,No,0,
R019,PM,100-249,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,5,5,Faster iteration on research questions,Familiar and have used,Yes,Yes,5,Better integration with other internal tools
R020,Engineer,50-99,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Familiar but never used,No,No,0,
R021,Designer,2-49,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,3,4,3,5,Better templates for user interview analysis,Familiar and have used,Yes,Yes,3,Easier setup process for new projects
R022,Researcher,250-499,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,4,More advanced statistical analysis capabilities,Familiar and have used,Yes,Yes,5,Support for more data formats and sources
R023,PM,500-999,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,4,5,0,3,Better stakeholder reporting features,Familiar and planning to use,Yes,Yes,0,
R024,Developer,1000-1999,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,Heard of but not familiar,No,No,0,
R025,Designer,100-249,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,0,3,0,5,Automated competitive analysis tools,Never heard of,No,No,0,
